"Gennemsnitsalder efter sogn og tid"

" ","2010","2011","2012","2013"
"7265 Grevinge (Odsherred Kommune)",43.9,44.4,44.8,45.8
"7266 Asnæs (Odsherred Kommune)",45.6,46.2,46.4,46.6
"7267 Fårevejle (Odsherred Kommune)",42.9,43.4,43.6,44.3
"7268 Vor Frue (Kalundborg Kommune)",44.7,44.6,44.8,45.4
"7269 Raklev (Kalundborg Kommune)",41.9,42.5,43.0,43.6
"7270 Røsnæs (Kalundborg Kommune)",45.1,45.5,46.5,47.4
"7271 Tømmerup (Kalundborg Kommune)",37.4,37.8,38.1,38.6
"7272 Årby (Kalundborg Kommune)",39.5,39.8,40.4,40.6
"7273 Rørby (Kalundborg Kommune)",38.2,38.2,38.6,39.6
"7274 Sankt Nikolai (Holbæk Kommune)",41.3,41.8,42.0,42.2
"7275 Tveje Merløse (Holbæk Kommune)",39.3,39.4,39.6,40.2
"7276 Butterup (Holbæk Kommune)",37.7,38.2,38.2,38.8
"7277 Tuse (Holbæk Kommune)",39.5,39.9,40.2,40.8
"7278 Nørre Jernløse (Holbæk Kommune)",38.0,38.0,38.2,38.5
"7279 Kvanløse (Holbæk Kommune)",38.3,39.0,39.2,40.9
"7280 Sønder Jernløse (Holbæk Kommune)",37.9,38.5,39.0,39.1
"7281 Søstrup (Holbæk Kommune)",39.0,39.0,40.3,40.5
"7282 Sønder Asmindrup (Holbæk Kommune)",37.8,38.3,0.0,0.0
"7283 Grandløse (Holbæk Kommune)",40.2,40.3,0.0,0.0
"7284 Tølløse (Holbæk Kommune)",39.9,40.2,40.6,40.8
"7285 Ågerup (Holbæk Kommune)",40.4,41.1,0.0,0.0
"7286 Soderup (Holbæk Kommune)",38.2,38.6,39.3,39.9
"7287 Kirke Eskilstrup (Holbæk Kommune)",38.7,38.6,39.0,39.6
"7288 Store Tåstrup (Holbæk Kommune)",40.5,40.9,41.3,41.5
"7289 Ugerløse (Holbæk Kommune)",39.2,39.5,40.0,40.7
"7290 Undløse (Holbæk Kommune)",39.5,39.5,39.6,40.3
"7291 Søndersted (Holbæk Kommune)",40.3,41.2,41.6,42.1
"7292 Udby (Holbæk Kommune)",45.9,46.4,46.6,47.2
"7293 Hørby (Holbæk Kommune)",43.5,43.3,43.4,44.4
"7294 Hagested (Holbæk Kommune)",39.2,39.3,39.0,39.7
"7295 Gislinge (Holbæk Kommune)",38.6,38.5,39.2,39.3
"7296 Kundby (Holbæk Kommune)",38.8,38.8,39.7,39.9
"7297 Hjembæk (Holbæk Kommune)",39.3,39.7,40.1,0.0
"7298 Svinninge (Holbæk Kommune)",42.2,42.5,42.6,0.0
"7299 Jyderup (Holbæk Kommune)",41.7,42.0,42.2,42.6
"7300 Holmstrup (Holbæk Kommune)",40.1,39.9,40.4,41.3
"7301 Stigs Bjergby (Holbæk Kommune)",39.1,40.3,39.4,39.8
"7302 Mørkøv (Holbæk Kommune)",39.7,39.0,39.3,39.4
"7303 Skamstrup (Holbæk Kommune)",39.4,39.7,40.2,40.2
"7304 Karrebæk (Næstved Kommune)",49.8,50.1,51.0,52.1
"7305 Fodby (Næstved Kommune)",42.1,41.8,42.1,42.7
"7306 Herlufsholm (Næstved Kommune)",40.9,41.1,41.3,41.5
"7307 Gunderslev (Næstved Kommune)",39.0,39.8,39.0,39.5
"7308 Skælskør (Slagelse Kommune)",46.8,47.5,47.2,47.6
"7309 Eggeslevmagle (Slagelse Kommune)",42.6,42.6,43.3,43.1
"7310 Høve (Slagelse Kommune)",40.3,39.9,39.9,40.8
"7311 Flakkebjerg (Slagelse Kommune)",39.4,39.8,39.6,39.6
"7312 Skørpinge (Slagelse Kommune)",37.0,37.8,38.5,39.0
"7313 Fårdrup (Slagelse Kommune)",39.4,40.0,40.8,40.4
"7314 Sørbymagle (Slagelse Kommune)",39.7,39.6,39.6,40.4
"7315 Kirkerup (Slagelse Kommune)",43.5,43.3,43.9,44.9
"7316 Gimlinge (Slagelse Kommune)",38.3,38.5,39.0,39.8
"7317 Hårslev (Næstved Kommune)",36.3,37.0,37.1,37.9
"7318 Ting Jellinge (Næstved Kommune)",39.9,40.7,38.8,38.5
"7319 Hyllested (Slagelse Kommune)",38.2,39.3,39.5,39.8
"7320 Venslev (Slagelse Kommune)",38.2,38.9,40.4,40.9
"7321 Holsteinborg (Slagelse Kommune)",48.1,48.4,49.7,50.8
"7322 Ørslev (Slagelse Kommune)",42.9,43.5,43.9,44.5
"7323 Sønder Bjerge (Slagelse Kommune)",35.7,35.1,35.5,36.0
"7324 Tjæreby (Slagelse Kommune)",36.5,37.3,38.2,39.5
"7325 Magleby (Slagelse Kommune)",37.9,38.8,39.7,41.0
"7326 Agersø (Slagelse Kommune)",51.4,52.5,54.3,56.2
"7327 Omø (Slagelse Kommune)",56.0,57.1,56.3,56.8
"7328 Tystrup (Næstved Kommune)",43.1,44.4,45.4,44.5
"7329 Haldagerlille (Næstved Kommune)",40.5,40.5,42.2,41.7
"7330 Krummerup (Næstved Kommune)",40.6,40.8,41.3,41.9
"7331 Fuglebjerg (Næstved Kommune)",44.5,44.5,44.7,44.7
"7332 Førslev (Næstved Kommune)",37.7,37.9,38.1,38.4
"7333 Vallensved (Næstved Kommune)",39.8,40.3,41.7,42.3
"7334 Marvede (Næstved Kommune)",41.4,42.2,41.7,42.1
"7335 Hyllinge (Næstved Kommune)",38.0,38.6,38.3,38.2
"7336 Kvislemark (Næstved Kommune)",37.7,38.1,39.3,39.1
"7337 Fyrendal (Næstved Kommune)",40.0,40.8,40.6,41.3
"7338 Munke Bjergby (Sorø Kommune)",39.4,39.7,40.4,41.0
"7339 Bromme (Sorø Kommune)",42.3,43.6,42.8,43.3
"7340 Gyrstinge (Ringsted Kommune)",36.3,36.7,37.3,37.7
"7341 Kirke Flinterup (Sorø Kommune)",35.8,37.0,37.2,38.5
"7342 Stenmagle (Sorø Kommune)",37.6,38.7,39.1,40.1
"7343 Bringstrup (Ringsted Kommune)",40.1,38.9,37.9,38.4
"7344 Sigersted (Ringsted Kommune)",38.2,38.9,39.5,39.1
"7345 Sankt Mikkels (Slagelse Kommune)",40.1,40.2,40.3,40.3
"7346 Hejninge (Slagelse Kommune)",38.7,40.2,40.9,41.1
"7347 Sankt Peders (Slagelse Kommune)",40.2,40.3,40.3,40.6
"7348 Sankt Povls (Slagelse Kommune)",46.1,46.1,46.6,46.6
"7349 Tårnborg (Slagelse Kommune)",41.8,42.3,42.9,43.5
"7350 Sønderup (Slagelse Kommune)",36.2,36.5,36.9,37.4
"7351 Nordrupvester (Slagelse Kommune)",39.0,39.5,40.1,40.8
"7352 Gudum (Slagelse Kommune)",37.0,37.2,37.9,39.1
"7353 Sorterup (Slagelse Kommune)",39.1,40.2,40.1,40.3
"7354 Ottestrup (Slagelse Kommune)",37.1,37.8,38.0,38.7
"7355 Slots Bjergby (Slagelse Kommune)",42.1,41.4,41.5,38.6
"7356 Sludstrup (Slagelse Kommune)",36.5,36.8,36.3,36.4
"7357 Lundforlund (Slagelse Kommune)",44.7,44.3,42.8,40.3
"7358 Gerlev (Slagelse Kommune)",39.1,40.1,41.0,41.9
"7359 Kirke Stillinge (Slagelse Kommune)",46.1,46.7,47.7,48.2
"7360 Vemmelev (Slagelse Kommune)",38.3,38.3,39.1,39.7
"7361 Hemmeshøj (Slagelse Kommune)",36.6,36.5,36.5,37.0
"7362 Boeslunde (Slagelse Kommune)",40.0,40.4,41.5,41.3
"7363 Ringsted (Ringsted Kommune)",39.8,39.8,40.0,40.2
"7364 Benløse (Ringsted Kommune)",39.6,39.9,40.3,40.6
"7365 Haraldsted (Ringsted Kommune)",39.4,40.1,40.4,41.2
"7366 Allindemagle (Ringsted Kommune)",39.4,40.9,42.3,42.2
"7367 Jystrup (Ringsted Kommune)",38.8,39.1,39.4,40.2
"7368 Valsølille (Ringsted Kommune)",38.8,39.8,40.1,41.3
"7369 Vigersted (Ringsted Kommune)",39.9,40.4,40.3,40.0
"7370 Kværkeby (Ringsted Kommune)",38.7,39.1,39.7,40.6
"7371 Nordrupøster (Ringsted Kommune)",40.4,41.3,41.7,41.7
"7372 Farendløse (Ringsted Kommune)",35.7,35.9,36.8,36.6
"7373 Vetterslev (Ringsted Kommune)",39.7,40.5,41.5,41.0
"7374 Høm (Ringsted Kommune)",38.5,39.0,39.2,39.9
"7375 Øde Førslev (Faxe Kommune)",38.9,39.2,39.3,39.4
"7376 Sneslev (Ringsted Kommune)",39.1,39.2,39.4,40.1
"7377 Terslev (Faxe Kommune)",39.8,40.1,40.4,40.6
"7378 Ørslev (Ringsted Kommune)",38.5,38.9,39.8,39.7
"7379 Haslev (Faxe Kommune)",40.4,40.7,41.2,41.5
"7380 Freerslev (Faxe Kommune)",41.3,41.6,42.3,42.4
"7381 Teestrup (Faxe Kommune)",38.4,39.4,40.0,40.1
"7382 Bråby (Faxe Kommune)",39.2,39.4,39.5,40.4
"7383 Sorø (Sorø Kommune)",44.3,44.4,44.7,44.9
"7384 Pedersborg (Sorø Kommune)",37.9,38.4,38.9,39.0
"7385 Kindertofte (Slagelse Kommune)",40.6,39.2,39.5,40.6
"7386 Lynge (Sorø Kommune)",40.6,40.9,41.2,41.4
"7387 Vester Broby (Sorø Kommune)",43.3,43.1,43.7,44.4
"7388 Alsted (Sorø Kommune)",40.5,40.4,42.0,42.2
"7389 Fjenneslev (Sorø Kommune)",40.4,41.1,40.9,41.3
