SOGNEKODE;ANTAL.IKKEBESK;SOGNENAVN;KOMNAVN;INDKOMST.BESK;INDKOMST.IKKEBESK;INDKOMST.STUD;INDKOMST.ALLE;INDKOMST.GNS.BESK;INDKOMST.GNS.IKKEBESK;INDKOMST.GNS.STUD;INDKOMST.GNS.ALLE;ANTAL.BESK;ANTAL.STUD;ANTAL.ALLE;KOM.INDKOMST.GNS.BESK;KOM.INDKOMST.GNS.IKKEBESK;KOM.INDKOMST.GNS.STUD;KOM.INDKOMST.GNS.ALLE
7419;1310;Oppe Sundby Sogn;Frederikssund;465527;231108;170450;389367;524982;255804;217504;429125;2580;90;3990;484221;242452;200833;381246
7420;220;Snostrup Sogn;Frederikssund;434572;206210;214473;380042;474050;246048;215014;401177;500;20;730;484221;242452;200833;381246
7421;1700;Slangerup Sogn;Frederikssund;444119;216830;190286;368932;506543;238723;196597;410256;3340;140;5180;484221;242452;200833;381246
7422;300;Uvelse Sogn;Hillerød;437595;215143;198062;366580;526870;243250;214205;433956;660;20;980;528981;264725;186443;423735
7423;610;Græse Sogn;Frederikssund;451717;226963;183680;374485;519774;249735;196852;420341;1170;50;1830;484221;242452;200833;381246
7424;70;Sigerslevvester Sogn;Frederikssund;430060;198530;0;363357;532011;221214;0;428150;160;0;240;484221;242452;200833;381246
7425;580;Lynge Sogn;Allerød;490613;226530;158127;402384;586716;254819;164735;477884;1290;40;1900;612475;298718;208861;498965
7426;550;Uggeløse Sogn;Allerød;460987;216773;206884;395401;535885;324379;220204;463444;1240;60;1840;612475;298718;208861;498965
7427;510;Jørlunde Sogn;Egedal;454685;223602;170473;391102;504321;286978;205467;433383;1210;50;1760;526112;261423;197663;433535
7428;510;Esbønderup Sogn;Gribskov;422223;221431;138761;349565;481006;255263;171719;396494;960;40;1510;478301;250922;195616;377653
7429;580;Nødebo Sogn;Hillerød;503724;270177;109994;373070;641702;317810;127184;478975;830;120;1530;528981;264725;186443;423735
7430;540;Søborg Sogn;Gribskov;408917;209382;214877;296835;451987;236924;224301;350564;650;30;1220;478301;250922;195616;377653
7431;2460;Gilleleje Sogn;Gribskov;427871;231166;188783;324089;492004;260783;199686;378734;2730;100;5290;478301;250922;195616;377653
7432;1370;Græsted Sogn;Gribskov;400391;216069;226395;326535;462581;237599;219461;372951;2250;100;3730;478301;250922;195616;377653
7433;240;Mårum Sogn;Gribskov;440624;212427;212841;362984;500329;237585;231671;408436;500;30;770;478301;250922;195616;377653
7434;2430;Helsinge Sogn;Gribskov;427120;225004;160078;323123;475901;239024;179625;369296;3330;200;5960;478301;250922;195616;377653
7435;130;Valby Sogn;Gribskov;431516;232623;0;365365;528681;274700;0;443071;280;0;420;478301;250922;195616;377653
7436;2270;Frederiksborg Slotssogn;Hillerød;446912;235828;157157;339602;507164;270737;175289;396672;3230;320;5820;528981;264725;186443;423735
7437;2660;Sankt Olai Sogn;Helsingør;406788;229282;186334;321631;441938;246756;193228;357477;4440;490;7590;525241;267983;199569;407335
