"Gennemsnitsalder efter sogn og tid"

" ","2007","2008","2009"
"8291 Durup (Rebild Kommune)",43.7,43.7,43.1
"8292 Rørbæk (Rebild Kommune)",38.9,38.7,39.2
"8293 Grynderup (Rebild Kommune)",36.0,37.2,37.2
"8294 Skibsted (Rebild Kommune)",38.2,38.0,38.5
"8295 Lyngby (Rebild Kommune)",42.4,43.1,43.2
"8296 Store Brøndum (Rebild Kommune)",38.6,38.3,39.5
"8297 Siem (Rebild Kommune)",38.4,38.7,38.1
"8298 Torup (Rebild Kommune)",35.6,35.8,36.3
"8299 Gerding (Rebild Kommune)",38.5,38.3,40.1
"8300 Blenstrup (Rebild Kommune)",37.7,38.0,37.8
"8301 Skørping (Rebild Kommune)",41.2,41.3,41.1
"8302 Fræer (Rebild Kommune)",36.7,37.4,38.7
"8303 Als (Mariagerfjord Kommune)",44.0,44.6,44.8
"8304 Skelund (Mariagerfjord Kommune)",37.6,37.8,38.4
"8305 Visborg (Mariagerfjord Kommune)",36.6,37.5,37.9
"8306 Hadsund (Mariagerfjord Kommune)",44.3,44.6,45.0
"8307 Vive (Mariagerfjord Kommune)",38.4,38.9,39.8
"8308 Rostrup (Mariagerfjord Kommune)",38.1,37.9,38.4
"8309 Oue (Mariagerfjord Kommune)",42.4,41.2,41.2
"8310 Valsgaard (Mariagerfjord Kommune)",34.1,34.7,34.6
"8311 Astrup (Mariagerfjord Kommune)",38.7,38.5,38.5
"8312 Storarden (Mariagerfjord Kommune)",42.2,42.5,42.8
"8313 Rold (Mariagerfjord Kommune)",37.4,37.3,37.8
"8314 Vebbestrup (Mariagerfjord Kommune)",35.3,35.1,35.5
"8315 Øls (Mariagerfjord Kommune)",37.5,38.1,38.9
"8316 Hørby (Mariagerfjord Kommune)",35.5,35.4,35.6
"8317 Døstrup (Mariagerfjord Kommune)",36.6,37.0,37.6
"8318 Gunderup (Aalborg Kommune)",37.4,37.7,37.9
"8319 Nøvling (Aalborg Kommune)",38.0,38.2,38.6
"8320 Romdrup (Aalborg Kommune)",40.8,40.9,40.7
"8321 Klarup (Aalborg Kommune)",39.1,39.7,40.2
"8322 Gudum (Aalborg Kommune)",36.9,36.4,37.0
"8323 Lillevorde (Aalborg Kommune)",37.7,36.5,36.7
"8324 Mou (Aalborg Kommune)",43.3,43.6,43.7
"8325 Storvorde (Aalborg Kommune)",38.3,38.0,38.0
"8326 Sejlflod (Aalborg Kommune)",36.9,38.2,38.0
"8327 Nibe (Aalborg Kommune)",43.6,43.9,43.8
"8328 Vokslev (Aalborg Kommune)",33.7,33.5,33.1
"8329 Sønderholm (Aalborg Kommune)",38.9,38.9,39.3
"8330 Frejlev (Aalborg Kommune)",35.7,35.8,35.9
"8331 Nørholm (Aalborg Kommune)",40.0,39.7,40.4
"8332 Ellidshøj (Aalborg Kommune)",36.4,36.8,37.2
"8333 Svenstrup (Aalborg Kommune)",40.8,40.7,40.5
"8334 Øster Hornum (Rebild Kommune)",38.3,38.3,38.5
"8335 Støvring (Rebild Kommune)",39.1,39.4,39.5
"8336 Gravlev (Rebild Kommune)",36.4,37.5,37.6
"8337 Aarestrup (Rebild Kommune)",35.8,36.7,36.0
"8338 Haverslev (Rebild Kommune)",40.3,40.5,40.2
"8339 Sønderup (Rebild Kommune)",34.5,34.3,34.8
"8340 Suldrup (Rebild Kommune)",43.8,44.0,43.8
"8341 Veggerby (Rebild Kommune)",36.0,36.1,36.2
"8342 Bislev (Aalborg Kommune)",38.3,38.0,38.7
"8343 Sønder Kongerslev (Aalborg Kommune)",41.9,42.3,42.0
"8344 Nørre Kongerslev (Aalborg Kommune)",37.4,36.5,37.0
"8345 Komdrup (Aalborg Kommune)",36.0,35.8,37.2
"8346 Bælum (Rebild Kommune)",40.1,40.4,41.2
"8347 Solbjerg (Rebild Kommune)",39.5,39.6,40.7
"8348 Løgstør (Vesthimmerlands Kommune)",44.2,44.6,44.8
"8349 Løgsted (Vesthimmerlands Kommune)",34.6,35.2,35.5
"8350 Ranum (Vesthimmerlands Kommune)",40.5,41.0,40.9
"8351 Malle (Vesthimmerlands Kommune)",36.4,36.2,36.3
"8352 Overlade (Vesthimmerlands Kommune)",39.7,39.4,39.9
"8353 Hyllebjerg (Vesthimmerlands Kommune)",34.6,35.8,36.8
"8354 Vilsted (Vesthimmerlands Kommune)",36.9,36.9,37.7
"8355 Vindblæs (Vesthimmerlands Kommune)",39.7,39.3,38.3
"8356 Sebber (Aalborg Kommune)",40.7,41.2,40.9
"8357 Store Ajstrup (Aalborg Kommune)",40.1,40.8,41.2
"8358 Næsborg (Vesthimmerlands Kommune)",38.7,39.6,39.5
"8359 Kornum (Vesthimmerlands Kommune)",43.7,44.8,45.6
"8360 Salling (Vesthimmerlands Kommune)",39.8,39.4,38.8
"8361 Oudrup (Vesthimmerlands Kommune)",39.7,39.5,38.9
"8362 Farstrup (Aalborg Kommune)",40.8,40.5,40.4
"8363 Lundby (Aalborg Kommune)",39.5,39.7,38.1
"8364 Budolfi (Aalborg Kommune)",35.6,35.6,35.4
"8365 Ansgars (Aalborg Kommune)",39.5,39.3,39.4
"8366 Vor Frelsers (Aalborg Kommune)",35.3,34.9,35.0
"8367 Vesterkær (Aalborg Kommune)",44.7,44.7,44.5
"8368 Vor Frue (Aalborg Kommune)",38.0,38.1,37.6
"8369 Sankt Markus (Aalborg Kommune)",38.4,38.0,37.5
"8370 Sønder Tranders (Aalborg Kommune)",38.0,38.1,37.6
"8371 Nørre Tranders (Aalborg Kommune)",35.0,35.3,35.6
"8372 Vejgaard (Aalborg Kommune)",39.2,39.1,39.1
"8373 Hans Egedes (Aalborg Kommune)",39.5,39.3,39.2
"8374 Hasseris (Aalborg Kommune)",42.0,42.2,42.7
"8375 Nørresundby (Aalborg Kommune)",41.0,41.0,40.9
"8376 Hvorup (Aalborg Kommune)",42.1,42.3,42.7
"8377 Lindholm (Aalborg Kommune)",40.7,40.6,40.8
"8378 Vadum (Aalborg Kommune)",40.2,40.2,40.4
"8379 Aaby (Jammerbugt Kommune)",40.2,40.2,40.1
"8380 Biersted (Jammerbugt Kommune)",37.9,38.2,38.5
"8381 Sulsted (Aalborg Kommune)",39.7,39.9,39.3
"8382 Ajstrup (Aalborg Kommune)",40.4,40.3,40.6
"8383 Horsens (Aalborg Kommune)",37.1,38.1,38.6
"8384 Hammer (Aalborg Kommune)",38.6,39.2,39.2
"8385 Vester Hassing (Aalborg Kommune)",37.7,38.0,38.4
"8386 Ulsted (Aalborg Kommune)",39.2,39.6,39.4
"8387 Hals (Aalborg Kommune)",45.3,45.8,46.5
"8388 Ferslev (Aalborg Kommune)",34.8,35.4,35.6
"8389 Dall (Aalborg Kommune)",41.1,41.0,41.3
"8390 Volsted (Aalborg Kommune)",35.0,35.1,35.3
"8391 Lerup (Jammerbugt Kommune)",37.9,38.4,38.9
"8392 Tranum (Jammerbugt Kommune)",40.8,40.3,40.4
"8393 Brovst (Jammerbugt Kommune)",43.7,44.1,44.6
"8394 Øland (Jammerbugt Kommune)",39.5,40.0,40.0
"8395 Torslev (Jammerbugt Kommune)",40.4,40.7,41.1
"8396 Øster Svenstrup (Jammerbugt Kommune)",40.3,40.7,40.5
"8397 Haverslev (Jammerbugt Kommune)",38.1,38.9,38.6
"8398 Skræm (Jammerbugt Kommune)",34.3,34.3,34.6
"8399 Aggersborg (Vesthimmerlands Kommune)",42.6,42.6,43.0
"8400 Bejstrup (Jammerbugt Kommune)",37.0,37.6,37.7
"8401 Vedsted (Jammerbugt Kommune)",39.9,40.1,40.8
"8402 Brønderslev (Brønderslev Kommune)",43.0,43.2,43.2
"8403 Serritslev (Brønderslev Kommune)",36.5,36.8,36.9
"8404 Vrejlev (Hjørring Kommune)",37.8,37.9,37.8
"8405 Hæstrup (Hjørring Kommune)",40.4,40.2,40.0
"8406 Børglum (Hjørring Kommune)",41.4,41.5,41.2
"8407 Løkken-Furreby (Hjørring Kommune)",47.8,48.3,49.1
"8408 Vejby (Hjørring Kommune)",35.9,35.5,36.6
"8409 Sejlstrup (Hjørring Kommune)",41.3,41.5,40.8
"8410 Vrensted (Hjørring Kommune)",39.7,40.2,41.0
"8411 Tise (Brønderslev Kommune)",39.2,40.0,39.6
"8412 Tolstrup (Brønderslev Kommune)",38.4,37.5,38.0
"8413 Stenum (Brønderslev Kommune)",37.0,37.4,36.6
"8414 Vrå (Hjørring Kommune)",41.8,42.0,41.8
"8415 Em (Hjørring Kommune)",34.3,34.0,34.8
"8416 Jerslev (Brønderslev Kommune)",40.0,39.4,39.3
"8417 Hellum (Brønderslev Kommune)",39.9,39.6,39.4
"8418 Øster Brønderslev (Brønderslev Kommune)",35.8,36.0,35.8
"8419 Hallund (Brønderslev Kommune)",37.9,37.4,37.3
"8420 Ingstrup (Jammerbugt Kommune)",43.7,43.2,43.3
"8421 Vester Hjermitslev (Jammerbugt Kommune)",44.0,43.5,43.5
"8422 Saltum (Jammerbugt Kommune)",44.2,44.8,44.5
"8423 Alstrup (Jammerbugt Kommune)",40.4,38.9,41.1
"8424 Jetsmark (Jammerbugt Kommune)",40.1,40.4,40.9
"8425 Hune (Jammerbugt Kommune)",51.8,52.0,52.4
"8426 Gjøl (Jammerbugt Kommune)",41.5,42.3,42.7
"8427 Hjallerup (Brønderslev Kommune)",40.5,40.6,40.6
"8428 Mosbjerg (Hjørring Kommune)",39.7,39.5,39.9
"8429 Bindslev (Hjørring Kommune)",42.2,42.3,42.3
"8430 Elling (Frederikshavn Kommune)",41.6,42.0,42.3
"8431 Tolne (Hjørring Kommune)",39.3,39.3,40.3
"8432 Hørmested (Hjørring Kommune)",36.5,37.0,37.7
"8433 Åsted (Frederikshavn Kommune)",38.7,39.2,39.2
"8434 Skærum (Frederikshavn Kommune)",37.8,38.4,39.3
"8435 Flade (Frederikshavn Kommune)",40.3,40.1,39.6
"8436 Gærum (Frederikshavn Kommune)",40.2,40.4,40.8
"8437 Byrum (Læsø Kommune)",47.6,47.5,47.7
"8438 Hals (Læsø Kommune)",47.5,48.3,48.8
"8439 Vesterø (Læsø Kommune)",49.8,50.7,51.6
"8440 Sæby (Frederikshavn Kommune)",44.7,45.3,45.9
"8441 Understed (Frederikshavn Kommune)",40.0,40.0,41.2
"8442 Karup (Frederikshavn Kommune)",34.3,34.6,34.3
"8443 Volstrup (Frederikshavn Kommune)",41.9,42.0,42.3
"8444 Hørby (Frederikshavn Kommune)",36.8,37.0,37.7
"8445 Torslev (Frederikshavn Kommune)",40.3,40.6,40.5
"8446 Skæve (Frederikshavn Kommune)",42.6,42.8,42.6
"8447 Albæk-Lyngså (Frederikshavn Kommune)",41.2,41.5,41.6
"8448 Voer (Brønderslev Kommune)",39.8,39.6,40.0
"8449 Hellevad (Brønderslev Kommune)",39.8,40.0,39.9
"8450 Ørum (Brønderslev Kommune)",38.2,38.4,38.5
"8451 Dronninglund (Brønderslev Kommune)",42.1,42.4,42.3
"8452 Aså (Brønderslev Kommune)",42.2,42.6,42.8
"8454 Sankt Catharinæ (Hjørring Kommune)",41.4,41.5,41.5
"8455 Sankt Hans (Hjørring Kommune)",39.8,40.0,40.4
"8456 Sankt Olai (Hjørring Kommune)",37.9,38.0,38.4
"8457 Ugilt (Hjørring Kommune)",37.8,37.9,38.1
"8458 Tårs (Hjørring Kommune)",41.2,41.3,41.3
"8459 Sindal (Hjørring Kommune)",43.4,43.3,43.9
"8460 Astrup (Hjørring Kommune)",37.8,38.1,38.1
"8461 Bjergby (Hjørring Kommune)",39.3,39.6,39.7
"8462 Mygdal (Hjørring Kommune)",39.6,38.8,39.7
"8463 Horne (Hjørring Kommune)",37.4,37.9,38.2
"8464 Asdal (Hjørring Kommune)",39.9,39.7,39.9
"8465 Hirtshals (Hjørring Kommune)",42.3,42.9,43.4
"8466 Tornby (Hjørring Kommune)",41.7,42.7,42.9
"8467 Vidstrup (Hjørring Kommune)",39.5,39.9,39.8
"8468 Skallerup (Hjørring Kommune)",40.4,40.7,40.8
"8469 Vennebjerg (Hjørring Kommune)",41.1,40.7,40.8
"8470 Rubjerg (Hjørring Kommune)",44.2,44.2,45.0
"8471 Lyngby (Hjørring Kommune)",45.2,47.2,46.6
"8472 Jelstrup (Hjørring Kommune)",39.9,39.6,39.2
"8473 Mårup (Hjørring Kommune)",50.6,51.7,53.4
"8474 Harritslev (Hjørring Kommune)",41.9,43.6,42.7
"8475 Rakkeby (Hjørring Kommune)",38.2,38.4,39.1
"8476 Frederikshavn (Frederikshavn Kommune)",42.7,42.9,43.2
"8478 Abildgård (Frederikshavn Kommune)",42.0,42.0,42.1
"8479 Bangsbostrand (Frederikshavn Kommune)",42.1,42.2,42.7
"8480 Skagen (Frederikshavn Kommune)",44.9,45.5,46.1
"8481 Råbjerg (Frederikshavn Kommune)",45.3,45.8,46.2
"8482 Tversted (Hjørring Kommune)",46.4,46.5,47.6
"8483 Uggerby (Hjørring Kommune)",42.1,42.2,41.5
"8484 Sahl (Viborg Kommune)",38.5,38.3,38.6
"8485 Gullev (Viborg Kommune)",32.2,32.7,32.8
"8486 Hvorslev (Favrskov Kommune)",35.0,34.6,35.7
"8487 Gerning (Favrskov Kommune)",37.7,37.6,36.9
"8488 Vellev (Favrskov Kommune)",34.1,34.7,34.9
"8489 Vejerslev (Favrskov Kommune)",36.9,35.7,34.9
"8490 Aidt (Favrskov Kommune)",37.8,35.7,35.0
"8491 Thorsø (Favrskov Kommune)",40.6,40.8,41.1
"8492 Houlbjerg (Favrskov Kommune)",36.4,36.6,36.3
"8493 Granslev (Favrskov Kommune)",37.8,38.1,38.7
"8494 Haurum (Favrskov Kommune)",36.2,36.8,37.9
"8495 Sall (Favrskov Kommune)",35.9,35.6,35.3
"8496 Balle (Silkeborg Kommune)",36.0,36.3,36.6
"8497 Tårup (Viborg Kommune)",42.4,41.7,41.5
"8498 Kvols (Viborg Kommune)",39.9,42.6,41.5
"8499 Kobberup (Skive Kommune, Viborg Kommune)",36.6,36.6,36.5
"8500 Stoholm (Viborg Kommune)",41.9,41.9,41.9
"8501 Sparkær (Viborg Kommune)",36.6,36.0,36.9
"8502 Gammelstrup (Viborg Kommune)",37.4,38.0,38.0
"8503 Daugbjerg (Viborg Kommune)",37.7,37.6,37.8
"8504 Mønsted (Viborg Kommune)",38.4,38.6,38.8
"8505 Smollerup (Viborg Kommune)",34.0,33.9,33.6
"8506 Vridsted (Viborg Kommune)",38.7,39.2,39.2
"8507 Fly (Viborg Kommune)",36.1,36.8,37.0
"8508 Vroue (Viborg Kommune)",40.6,40.7,41.2
"8509 Resen (Viborg Kommune)",35.4,34.6,35.3
"8510 Nørbæk (Randers Kommune)",38.2,38.1,38.0
"8511 Sønderbæk (Randers Kommune)",34.6,35.5,35.7
"8512 Læsten (Randers Kommune)",42.2,41.5,41.0
"8513 Øster Bjerregrav (Randers Kommune)",39.0,38.7,38.8
"8514 Ålum (Randers Kommune)",41.3,41.4,41.2
"8515 Tånum (Randers Kommune)",40.6,40.6,41.8
"8516 Hornbæk (Randers Kommune)",39.3,38.9,38.9
"8517 Vesterbølle (Vesthimmerlands Kommune)",35.8,35.8,36.2
"8518 Østerbølle (Vesthimmerlands Kommune)",34.0,34.2,33.7
"8519 Gedsted (Vesthimmerlands Kommune)",42.7,43.0,43.6
"8520 Fjelsø (Vesthimmerlands Kommune)",38.2,38.0,38.6
"8521 Simested (Viborg Kommune, Vesthimmerlands Kommune, Mariagerfjord Kommune)",36.3,36.7,37.6
"8522 Testrup (Vesthimmerlands Kommune)",38.3,38.3,38.5
"8523 Hvam (Viborg Kommune, Vesthimmerlands Kommune)",37.8,38.8,39.3
"8524 Hvilsom (Viborg Kommune, Mariagerfjord Kommune)",38.6,38.2,37.8
"8525 Hersom (Viborg Kommune)",37.1,37.0,37.0
"8526 Vester Bjerregrav (Viborg Kommune)",37.7,38.0,39.0
"8527 Klejtrup (Viborg Kommune)",39.9,39.7,39.6
"8528 Vester Tostrup (Viborg Kommune)",42.1,42.2,42.1
"8529 Roum (Viborg Kommune)",40.6,40.5,41.3
"8530 Låstrup (Viborg Kommune)",42.4,42.6,41.8
"8531 Skals (Viborg Kommune)",39.4,39.5,40.2
"8532 Ulbjerg (Viborg Kommune)",40.7,40.6,40.6
"8533 Lynderup (Viborg Kommune)",37.2,37.0,36.7
"8534 Dollerup (Viborg Kommune)",36.6,36.8,36.9
"8535 Finderup (Viborg Kommune)",35.1,35.6,35.7
"8536 Ravnstrup (Viborg Kommune)",40.1,40.2,40.5
"8537 Skjød (Favrskov Kommune)",36.2,36.2,37.4
"8538 Durup (Skive Kommune)",46.6,46.4,46.6
"8539 Tøndering (Skive Kommune)",36.3,37.3,38.0
"8540 Roslev (Skive Kommune)",42.4,42.4,43.1
"8541 Rybjerg (Skive Kommune)",37.4,37.7,37.3
"8542 Hjerk (Skive Kommune)",40.2,40.3,40.7
"8543 Harre (Skive Kommune)",41.8,41.7,41.5
"8544 Nautrup (Skive Kommune)",38.8,38.2,37.3
"8545 Vile (Skive Kommune)",40.6,41.2,40.1
"8546 Glyngøre (Skive Kommune)",43.1,44.4,45.0
"8547 Sæby (Skive Kommune)",38.8,38.4,37.3
"8548 Fur (Skive Kommune)",46.9,47.5,47.9
"8549 Rødding (Skive Kommune)",41.1,41.3,41.6
"8550 Lihme (Skive Kommune)",43.7,44.7,44.8
"8551 Balling (Skive Kommune)",42.8,43.6,43.8
"8552 Volling (Skive Kommune)",33.1,32.9,33.1
"8553 Krejbjerg (Skive Kommune)",37.2,37.8,38.2
"8554 Håsum (Skive Kommune)",36.6,36.8,36.4
"8555 Ramsing (Skive Kommune)",38.4,37.7,37.6
"8556 Lem (Skive Kommune)",39.7,40.6,39.9
"8557 Vejby (Skive Kommune)",34.4,35.7,36.5
"8558 Højslev (Skive Kommune)",40.6,40.7,41.1
"8559 Dommerby (Skive Kommune)",41.1,41.2,41.8
"8560 Lundø (Skive Kommune)",47.4,47.1,47.2
"8561 Ørslevkloster (Skive Kommune)",41.5,42.1,42.5
"8562 Ørum (Skive Kommune)",41.4,42.7,43.9
"8563 Vorde (Viborg Kommune)",37.2,37.9,37.7
"8564 Fiskbæk (Viborg Kommune)",41.3,41.1,40.9
"8565 Romlund (Viborg Kommune)",36.9,36.5,36.6
"8566 Rødding (Viborg Kommune)",36.6,36.4,36.5
"8567 Løvel (Viborg Kommune)",37.0,37.1,37.0
"8568 Pederstrup (Viborg Kommune)",35.2,33.9,35.3
"8569 Vammen (Viborg Kommune)",42.1,41.8,42.2
"8570 Lindum (Viborg Kommune)",41.8,42.3,42.4
"8571 Bigum (Viborg Kommune)",36.0,37.6,38.6
"8572 Skive (Skive Kommune)",40.8,40.8,40.8
"8573 Resen (Skive Kommune)",40.5,41.2,41.6
"8574 Hem (Skive Kommune)",38.4,38.3,38.5
"8575 Hindborg (Skive Kommune)",35.8,35.0,34.1
"8576 Dølby (Skive Kommune)",37.5,38.8,39.1
"8577 Oddense (Skive Kommune)",37.9,38.4,38.3
"8578 Otting (Skive Kommune)",36.5,36.9,36.3
"8579 Brøndum (Skive Kommune)",39.2,38.8,40.7
"8580 Hvidbjerg (Skive Kommune)",36.3,36.8,36.8
"8581 Selde (Skive Kommune)",44.1,44.2,44.6
"8582 Åsted (Skive Kommune)",37.5,37.7,37.3
"8583 Junget (Skive Kommune)",37.6,39.0,39.5
"8584 Thorum (Skive Kommune)",38.3,38.2,38.4
"8585 Grinderslev (Skive Kommune)",42.4,43.0,43.2
"8586 Grønning (Skive Kommune)",39.2,41.1,41.9
"8587 Thise (Skive Kommune)",41.4,41.1,41.4
"8588 Jebjerg (Skive Kommune)",40.9,41.4,42.1
"8589 Lyby (Skive Kommune)",37.8,38.0,37.9
"8590 Vium (Silkeborg Kommune)",36.5,36.5,36.3
"8591 Lysgård (Viborg Kommune)",36.2,36.0,36.0
"8592 Sjørslev (Silkeborg Kommune)",38.1,37.8,38.1
"8593 Almind (Viborg Kommune)",41.3,41.4,42.0
"8594 Højbjerg (Viborg Kommune)",39.3,39.9,39.6
"8595 Elsborg (Viborg Kommune)",38.8,38.9,39.1
"8596 Grønbæk (Silkeborg Kommune)",41.2,41.3,41.5
"8597 Levring (Silkeborg Kommune)",36.3,36.6,37.0
"8598 Hørup (Silkeborg Kommune)",42.8,42.8,42.7
"8599 Hinge (Silkeborg Kommune)",37.6,37.5,37.6
"8600 Vinderslev (Silkeborg Kommune)",35.9,36.3,36.3
"8601 Thorning (Silkeborg Kommune)",39.7,39.5,39.7
"8602 Frederiks (Viborg Kommune)",40.1,40.2,40.1
"8603 Karup (Viborg Kommune)",40.7,40.9,41.1
"8604 Serup (Silkeborg Kommune)",37.2,37.4,37.5
"8605 Lemming (Silkeborg Kommune)",37.0,37.3,37.2
"8606 Gødvad (Silkeborg Kommune)",36.4,36.6,36.6
"8607 Svostrup (Silkeborg Kommune)",36.4,36.0,35.5
"8608 Sejling (Silkeborg Kommune)",36.5,35.7,36.7
"8609 Sinding (Silkeborg Kommune)",37.4,37.8,37.3
"8610 Kragelund (Silkeborg Kommune)",40.1,38.9,39.2
"8611 Funder (Silkeborg Kommune)",37.3,37.3,37.8
"8612 Engesvang (Ikast-Brande Kommune)",37.9,38.1,38.5
"8613 Viborg Domsogn (Viborg Kommune)",42.1,42.1,41.9
"8614 Søndre (Viborg Kommune)",41.4,41.5,41.8
"8615 Asmild (Viborg Kommune)",39.0,38.9,39.2
"8616 Tapdrup (Viborg Kommune)",36.9,37.4,37.9
"8617 Vinkel (Viborg Kommune)",38.6,38.2,38.3
"8618 Sønder Rind (Viborg Kommune)",38.1,38.6,38.7
"8619 Vindum (Viborg Kommune)",39.0,39.2,39.3
"8621 Mammen (Viborg Kommune)",34.8,34.7,35.0
"8622 Bjerringbro (Viborg Kommune)",41.2,41.6,41.9
"8624 Lee (Viborg Kommune)",34.8,34.0,34.4
"8625 Hjorthede (Viborg Kommune)",35.9,36.0,36.6
"8626 Vester Velling (Favrskov Kommune)",36.2,35.9,36.8
"8627 Skjern (Viborg Kommune)",39.2,40.1,40.3
"8628 Øster Velling (Randers Kommune)",41.0,41.7,40.5
"8629 Helstrup (Randers Kommune)",35.8,36.0,36.7
"8630 Grensten (Randers Kommune)",39.0,38.2,38.0
"8631 Langå (Randers Kommune)",41.0,41.3,41.4
"8632 Torup (Randers Kommune)",35.6,35.0,34.8
"8633 Sønder Vinge (Favrskov Kommune)",39.0,39.1,38.0
"8634 Tjele (Viborg Kommune)",34.3,33.6,33.3
"8635 Nørre Vinge (Viborg Kommune)",43.4,40.3,40.5
"8636 Ørum (Viborg Kommune)",41.9,42.3,42.4
"8637 Viskum (Viborg Kommune)",38.4,39.3,39.5
"8638 Vejrum (Viborg Kommune)",39.1,40.0,40.2
"8639 Vorning (Viborg Kommune)",36.1,35.5,35.5
"8640 Kvorning (Viborg Kommune)",37.2,38.0,37.7
"8641 Hammershøj (Viborg Kommune)",41.9,42.1,42.1
"8642 Hillerslev (Thisted Kommune)",37.0,37.5,37.8
"8643 Kåstrup (Thisted Kommune)",30.5,29.9,30.0
"8644 Sennels (Thisted Kommune)",40.3,40.4,40.7
"8645 Hunstrup (Thisted Kommune)",35.3,35.1,35.2
"8646 Østerild (Thisted Kommune)",41.5,42.1,43.0
"8647 Hjardemål (Thisted Kommune)",39.8,39.1,41.0
"8648 Vestervig (Thisted Kommune)",41.7,42.2,42.4
"8649 Agger (Thisted Kommune)",44.6,45.3,45.5
"8650 Hurup (Thisted Kommune)",45.6,45.8,46.0
"8651 Boddum (Thisted Kommune)",46.7,48.0,48.7
"8652 Ydby (Thisted Kommune)",39.0,38.6,39.2
"8653 Helligsø (Thisted Kommune)",39.7,38.0,39.9
"8654 Gettrup (Thisted Kommune)",42.6,43.1,44.8
"8655 Hvidbjerg (Struer Kommune)",42.8,43.0,43.2
"8656 Lyngs (Struer Kommune)",36.9,37.3,37.8
"8657 Søndbjerg (Struer Kommune)",41.4,40.5,41.0
"8658 Odby (Struer Kommune)",43.3,44.3,45.2
"8659 Jegindø (Struer Kommune)",47.9,48.9,49.4
"8660 Snedsted (Thisted Kommune)",41.5,41.7,41.9
"8661 Nørhå (Thisted Kommune)",43.3,43.5,44.2
"8662 Sønderhå (Thisted Kommune)",39.3,39.4,39.2
"8663 Hørsted (Thisted Kommune)",33.3,32.5,34.2
"8664 Harring (Thisted Kommune)",37.2,39.1,38.7
"8665 Stagstrup (Thisted Kommune)",43.7,44.3,44.4
"8666 Skyum (Thisted Kommune)",35.8,36.6,35.9
"8667 Hørdum (Thisted Kommune)",41.9,42.8,42.1
"8668 Sejerslev (Morsø Kommune)",43.9,43.3,43.7
"8669 Ejerslev (Morsø Kommune)",40.9,41.2,42.9
"8670 Jørsby (Morsø Kommune)",35.1,35.9,36.9
"8671 Flade (Morsø Kommune)",44.2,43.4,44.0
"8672 Bjergby (Morsø Kommune)",40.5,40.6,40.7
"8673 Alsted (Morsø Kommune)",41.5,40.9,40.1
"8674 Sønder Dråby (Morsø Kommune)",47.7,48.5,47.7
"8675 Solbjerg (Morsø Kommune)",39.6,39.4,40.0
"8676 Sundby (Morsø Kommune)",42.1,42.2,42.7
"8677 Dragstrup (Morsø Kommune)",38.5,38.2,37.3
"8678 Skallerup (Morsø Kommune)",35.0,36.1,37.2
"8679 Galtrup (Morsø Kommune)",37.6,38.3,37.8
"8680 Øster Jølby (Morsø Kommune)",48.7,49.3,49.6
"8681 Tødsø (Morsø Kommune)",39.0,38.8,38.6
"8682 Erslev (Morsø Kommune)",40.4,41.4,41.8
"8683 Hassing (Thisted Kommune)",35.2,35.7,36.1
"8684 Villerslev (Thisted Kommune)",39.6,39.9,41.0
"8685 Visby (Thisted Kommune)",40.8,42.2,43.8
"8686 Heltborg (Thisted Kommune)",38.9,39.0,39.6
"8687 Bedsted (Thisted Kommune)",42.2,42.3,41.7
"8688 Grurup (Thisted Kommune)",40.3,40.8,40.4
"8689 Hvidbjerg Vesten Å (Thisted Kommune)",46.6,45.2,45.8
"8690 Ørum (Thisted Kommune)",36.1,36.5,37.6
"8691 Lodbjerg (Thisted Kommune)",40.3,43.2,39.3
"8692 Nykøbing M (Morsø Kommune)",44.4,44.8,44.8
"8693 Lødderup (Morsø Kommune)",39.6,39.7,40.0
"8694 Elsø (Morsø Kommune)",34.7,34.4,34.6
"8695 Frøslev (Morsø Kommune)",37.3,37.5,38.1
"8696 Mollerup (Morsø Kommune)",38.4,39.6,39.2
"8697 Tæbring (Morsø Kommune)",42.4,43.1,43.1
"8698 Ovtrup (Morsø Kommune)",36.1,36.3,36.5
"8699 Rakkeby (Morsø Kommune)",37.2,37.8,37.9
"8700 Karby (Morsø Kommune)",42.0,44.0,43.6
"8701 Redsted (Morsø Kommune)",40.6,41.5,41.6
"8702 Hvidbjerg (Morsø Kommune)",43.5,44.0,44.1
"8703 Vejerslev (Morsø Kommune)",40.1,40.4,40.5
"8704 Blidstrup (Morsø Kommune)",37.7,38.4,38.3
"8705 Ljørslev (Morsø Kommune)",35.9,35.9,37.3
"8706 Ørding (Morsø Kommune)",42.6,43.3,42.9
"8707 Øster Assels (Morsø Kommune)",44.9,45.2,46.1
"8708 Vester Assels (Morsø Kommune)",42.4,44.0,44.5
"8709 Kollerup (Jammerbugt Kommune)",44.3,44.7,44.8
"8710 Hjortdal (Jammerbugt Kommune)",41.9,41.8,42.7
"8711 Klim (Jammerbugt Kommune)",38.8,39.1,38.7
"8712 Vester Torup (Jammerbugt Kommune)",40.3,40.7,40.6
"8713 Vust (Jammerbugt Kommune)",42.3,40.0,41.2
"8714 Tømmerby (Thisted Kommune)",41.2,41.7,42.2
"8715 Lild (Thisted Kommune)",42.8,43.5,44.6
"8716 Kettrup (Jammerbugt Kommune)",36.5,37.2,38.1
"8717 Gøttrup (Jammerbugt Kommune)",34.4,35.3,35.4
