"Gennemsnitsalder efter sogn og tid"

" ","2007","2008","2009"
"7430 Søborg (Gribskov Kommune)",42.2,43.1,43.4
"7431 Gilleleje (Gribskov Kommune)",44.2,44.5,44.7
"7432 Græsted (Gribskov Kommune)",39.1,39.3,39.9
"7433 Mårum (Gribskov Kommune)",39.6,40.1,40.3
"7434 Helsinge (Gribskov Kommune)",40.2,40.6,41.1
"7435 Valby (Gribskov Kommune)",39.2,38.9,39.1
"7436 Frederiksborg Slotssogn (Hillerød Kommune)",41.7,41.7,42.4
"7437 Sankt Olai (Helsingør Kommune)",40.0,39.9,40.1
"7438 Sankt Mariæ (Helsingør Kommune)",48.0,48.3,48.3
"7439 Vestervang (Helsingør Kommune)",41.2,41.3,41.5
"7440 Tikøb (Helsingør Kommune)",39.7,40.1,40.0
"7441 Hornbæk (Helsingør Kommune)",42.0,42.6,42.9
"7442 Hellebæk (Helsingør Kommune)",41.7,42.0,42.3
"7443 Egebæksvang (Helsingør Kommune)",40.7,40.9,41.2
"7444 Asminderød (Fredensborg Kommune)",40.4,40.8,41.2
"7445 Grønholt (Fredensborg Kommune)",41.0,41.1,42.2
"7446 Humlebæk (Fredensborg Kommune)",40.9,41.1,41.5
"7447 Birkerød (Rudersdal Kommune)",40.4,40.5,40.6
"7448 Bistrup (Rudersdal Kommune)",41.1,41.3,41.5
"7449 Blovstrød (Allerød Kommune, Fredensborg Kommune, Hørsholm Kommune)",41.7,42.2,42.4
"7450 Lillerød (Allerød Kommune)",39.1,39.3,39.6
"7451 Hørsholm (Hørsholm Kommune)",44.8,44.9,45.1
